track_id,culture,audio_path,factor_energy,factor_brightness,factor_texture,factor_dynamics,factor_percussiveness,rms,zcr,centroid_hz,flatness,flux
sanchit-gandhi_gtzan_00000030,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000030.wav,high,dark,mixed,dynamic,smooth,0.17280691862106323,0.05440033972263336,1064.0743408203125,0.17914697527885437,0.0716017410159111
sanchit-gandhi_gtzan_00000031,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000031.wav,high,dark,mixed,dynamic,smooth,0.16555625200271606,0.05226907506585121,1073.5797119140625,0.1965220719575882,0.07555757462978363
sanchit-gandhi_gtzan_00000032,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000032.wav,mid,dark,tonal,mixed,smooth,0.1337081491947174,0.03650647774338722,799.0492553710938,0.14334559440612793,0.07097122073173523
sanchit-gandhi_gtzan_00000033,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000033.wav,mid,dark,tonal,mixed,smooth,0.1415454000234604,0.04726904630661011,984.34765625,0.16243448853492737,0.06967455893754959
sanchit-gandhi_gtzan_00000034,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000034.wav,mid,dark,mixed,mixed,smooth,0.1368606984615326,0.05342533439397812,1094.62548828125,0.195795476436615,0.06429113447666168
sanchit-gandhi_gtzan_00000035,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000035.wav,high,dark,mixed,mixed,smooth,0.19188761711120605,0.06045037880539894,1187.587158203125,0.21087241172790527,0.06508780270814896
sanchit-gandhi_gtzan_00000036,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000036.wav,high,dark,mixed,mixed,smooth,0.20563973486423492,0.04660028964281082,969.8406372070312,0.1705462634563446,0.06909825652837753
sanchit-gandhi_gtzan_00000037,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000037.wav,mid,dark,tonal,mixed,smooth,0.07950971275568008,0.06901918351650238,1043.865966796875,0.15431860089302063,0.060603756457567215
sanchit-gandhi_gtzan_00000038,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000038.wav,high,dark,mixed,mixed,smooth,0.17463301122188568,0.05253782868385315,1092.8824462890625,0.1978258341550827,0.07104060053825378
sanchit-gandhi_gtzan_00000039,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000039.wav,mid,dark,tonal,mixed,smooth,0.08106793463230133,0.04136275872588158,688.7913818359375,0.10508657991886139,0.05865718424320221
sanchit-gandhi_gtzan_00000040,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000040.wav,mid,bright,noisy,mixed,mixed,0.13882817327976227,0.12833204865455627,1974.7816162109375,0.4416361153125763,0.0709674283862114
sanchit-gandhi_gtzan_00000041,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000041.wav,mid,bright,noisy,mixed,mixed,0.1324329674243927,0.1216445118188858,1973.4393310546875,0.44773292541503906,0.07018951326608658
sanchit-gandhi_gtzan_00000042,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000042.wav,mid,bright,noisy,dynamic,percussive,0.11472685635089874,0.14310088753700256,2062.692626953125,0.40211233496665955,0.07986723631620407
sanchit-gandhi_gtzan_00000043,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000043.wav,mid,bright,noisy,dynamic,mixed,0.13396480679512024,0.1056194081902504,1749.6248779296875,0.4269275963306427,0.07346794754266739
sanchit-gandhi_gtzan_00000044,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000044.wav,mid,bright,noisy,dynamic,mixed,0.14161203801631927,0.10148188471794128,1860.41259765625,0.4188481867313385,0.0738171711564064
sanchit-gandhi_gtzan_00000045,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000045.wav,high,mid,noisy,dynamic,smooth,0.14971981942653656,0.058406613767147064,1450.738037109375,0.3306695818901062,0.09366859495639801
sanchit-gandhi_gtzan_00000046,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000046.wav,mid,mid,noisy,dynamic,smooth,0.10633114725351334,0.06385664641857147,1463.2469482421875,0.34222716093063354,0.08104391396045685
sanchit-gandhi_gtzan_00000047,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000047.wav,mid,mid,noisy,dynamic,mixed,0.10771284252405167,0.0928005799651146,1705.115234375,0.39305761456489563,0.07273714989423752
sanchit-gandhi_gtzan_00000048,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000048.wav,mid,bright,noisy,mixed,mixed,0.12772051990032196,0.12453202903270721,1838.116943359375,0.43119361996650696,0.06794377416372299
sanchit-gandhi_gtzan_00000049,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000049.wav,mid,dark,mixed,dynamic,smooth,0.08753594756126404,0.06023787707090378,1109.137451171875,0.21195942163467407,0.08508820086717606
sanchit-gandhi_gtzan_00000050,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000050.wav,high,bright,noisy,mixed,mixed,0.1759219914674759,0.11324445903301239,1763.5869140625,0.4224531650543213,0.06818098574876785
sanchit-gandhi_gtzan_00000051,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000051.wav,high,bright,noisy,mixed,percussive,0.19782108068466187,0.14105713367462158,1707.295654296875,0.36386561393737793,0.06311484426259995
sanchit-gandhi_gtzan_00000052,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000052.wav,mid,mid,mixed,dynamic,mixed,0.10374467074871063,0.09053806215524673,1282.31787109375,0.2312207967042923,0.07417844980955124
sanchit-gandhi_gtzan_00000053,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000053.wav,high,bright,noisy,mixed,percussive,0.1791185885667801,0.17465734481811523,1926.0638427734375,0.3778097629547119,0.061254460364580154
sanchit-gandhi_gtzan_00000054,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000054.wav,high,bright,noisy,dynamic,mixed,0.20621894299983978,0.12605704367160797,1762.6973876953125,0.3967035114765167,0.07147608697414398
sanchit-gandhi_gtzan_00000055,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000055.wav,high,bright,noisy,stable,percussive,0.1658933013677597,0.1956324726343155,1984.3348388671875,0.38017532229423523,0.056714437901973724
sanchit-gandhi_gtzan_00000056,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000056.wav,high,mid,noisy,mixed,mixed,0.1509832739830017,0.08563803881406784,1445.61181640625,0.322130411863327,0.05937577784061432
sanchit-gandhi_gtzan_00000057,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000057.wav,high,mid,noisy,dynamic,mixed,0.1886700987815857,0.11893199384212494,1635.9842529296875,0.34657078981399536,0.07244912534952164
sanchit-gandhi_gtzan_00000058,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000058.wav,high,bright,noisy,stable,percussive,0.18739329278469086,0.15675723552703857,2076.791015625,0.4585135281085968,0.05555175989866257
sanchit-gandhi_gtzan_00000059,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000059.wav,high,bright,noisy,mixed,percussive,0.1797214299440384,0.21283258497714996,2066.11962890625,0.406692236661911,0.06170521676540375
sanchit-gandhi_gtzan_00000060,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000060.wav,high,bright,noisy,mixed,percussive,0.19876185059547424,0.15486972033977509,1887.6885986328125,0.4128989279270172,0.06578446179628372
sanchit-gandhi_gtzan_00000061,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000061.wav,mid,bright,noisy,mixed,percussive,0.13746647536754608,0.20905755460262299,2270.788330078125,0.4437924921512604,0.06281262636184692
sanchit-gandhi_gtzan_00000062,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000062.wav,mid,bright,noisy,mixed,percussive,0.11184057593345642,0.15668848156929016,1966.3590087890625,0.3454380929470062,0.059249792248010635
sanchit-gandhi_gtzan_00000063,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000063.wav,mid,bright,noisy,stable,percussive,0.10163671523332596,0.21125131845474243,2532.502197265625,0.5136559009552002,0.051997438073158264
sanchit-gandhi_gtzan_00000064,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000064.wav,mid,bright,noisy,stable,percussive,0.11688866466283798,0.18485115468502045,2247.993408203125,0.4910814166069031,0.054123882204294205
sanchit-gandhi_gtzan_00000065,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000065.wav,mid,bright,noisy,stable,percussive,0.10713396221399307,0.18843242526054382,2459.08447265625,0.4807916283607483,0.050405487418174744
sanchit-gandhi_gtzan_00000066,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000066.wav,mid,bright,noisy,mixed,percussive,0.11491423845291138,0.1560884714126587,2039.572509765625,0.40560171008110046,0.06047637015581131
sanchit-gandhi_gtzan_00000067,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000067.wav,mid,bright,noisy,mixed,percussive,0.13021020591259003,0.1405196338891983,1901.67431640625,0.4028284251689911,0.05974568799138069
sanchit-gandhi_gtzan_00000068,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000068.wav,mid,bright,noisy,stable,percussive,0.107984259724617,0.185026153922081,2229.728759765625,0.4658002555370331,0.056917913258075714
sanchit-gandhi_gtzan_00000069,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000069.wav,mid,bright,noisy,stable,percussive,0.12296753376722336,0.15293845534324646,1946.358154296875,0.3675878942012787,0.05348926782608032
sanchit-gandhi_gtzan_00000070,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000070.wav,mid,bright,noisy,stable,mixed,0.10963523387908936,0.125813290476799,1816.0479736328125,0.3644746243953705,0.05597671493887901
sanchit-gandhi_gtzan_00000071,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000071.wav,mid,bright,noisy,stable,percussive,0.1224372535943985,0.19225120544433594,2199.2802734375,0.46859976649284363,0.056283026933670044
sanchit-gandhi_gtzan_00000072,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000072.wav,mid,bright,noisy,stable,percussive,0.10264816135168076,0.18228864669799805,2287.11865234375,0.48712053894996643,0.05264272168278694
sanchit-gandhi_gtzan_00000073,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000073.wav,high,bright,noisy,mixed,mixed,0.26173457503318787,0.12198201566934586,1752.4119873046875,0.40822556614875793,0.05890604481101036
sanchit-gandhi_gtzan_00000074,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000074.wav,high,bright,noisy,mixed,percussive,0.21077340841293335,0.15005718171596527,2060.53759765625,0.4711872339248657,0.05853449925780296
sanchit-gandhi_gtzan_00000075,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000075.wav,high,bright,noisy,dynamic,mixed,0.2092301845550537,0.13370083272457123,1809.9970703125,0.40126481652259827,0.0770021378993988
sanchit-gandhi_gtzan_00000076,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000076.wav,high,bright,noisy,stable,percussive,0.21903394162654877,0.16629478335380554,2169.86181640625,0.4741576313972473,0.05450470745563507
sanchit-gandhi_gtzan_00000077,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000077.wav,high,bright,noisy,mixed,mixed,0.24942976236343384,0.13286958634853363,1820.5823974609375,0.43001359701156616,0.06444595009088516
sanchit-gandhi_gtzan_00000078,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000078.wav,high,bright,noisy,mixed,percussive,0.2685081958770752,0.15842598676681519,2017.3583984375,0.48456114530563354,0.05934494733810425
sanchit-gandhi_gtzan_00000079,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000079.wav,high,bright,noisy,stable,percussive,0.2624085247516632,0.1560634821653366,2079.371826171875,0.49171483516693115,0.05707418546080589
sanchit-gandhi_gtzan_00000080,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000080.wav,high,mid,noisy,mixed,mixed,0.2558910846710205,0.11893199384212494,1567.033935546875,0.3355339467525482,0.0638737827539444
sanchit-gandhi_gtzan_00000081,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000081.wav,high,bright,noisy,stable,percussive,0.2790277898311615,0.17699486017227173,2006.402587890625,0.45581182837486267,0.05601518973708153
sanchit-gandhi_gtzan_00000082,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000082.wav,high,bright,noisy,stable,percussive,0.2704317271709442,0.13985086977481842,1817.8953857421875,0.40686291456222534,0.05658188834786415
sanchit-gandhi_gtzan_00000083,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000083.wav,high,bright,noisy,mixed,percussive,0.2637087106704712,0.15879474580287933,1987.8597412109375,0.460979700088501,0.061795249581336975
sanchit-gandhi_gtzan_00000084,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000084.wav,high,bright,noisy,mixed,percussive,0.23665253818035126,0.14518840610980988,1760.6993408203125,0.39051416516304016,0.05979359522461891
sanchit-gandhi_gtzan_00000085,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000085.wav,high,mid,mixed,mixed,mixed,0.17169633507728577,0.11546321958303452,1456.9453125,0.23383605480194092,0.059136584401130676
sanchit-gandhi_gtzan_00000086,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000086.wav,mid,dark,mixed,dynamic,smooth,0.1200866773724556,0.07426921278238297,1121.0775146484375,0.20836885273456573,0.07988389581441879
sanchit-gandhi_gtzan_00000087,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000087.wav,high,dark,mixed,mixed,smooth,0.16369318962097168,0.06086288020014763,1103.091796875,0.2227834016084671,0.07058738172054291
sanchit-gandhi_gtzan_00000088,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000088.wav,mid,dark,tonal,dynamic,smooth,0.13519349694252014,0.04040025174617767,807.8733520507812,0.16461865603923798,0.09207665175199509
sanchit-gandhi_gtzan_00000089,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000089.wav,low,dark,tonal,mixed,smooth,0.06327977776527405,0.038350239396095276,687.6703491210938,0.11774776875972748,0.06956300884485245
sanchit-gandhi_gtzan_00000090,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000090.wav,mid,mid,mixed,dynamic,smooth,0.14136546850204468,0.07169419527053833,1265.3106689453125,0.2482002079486847,0.08313960582017899
sanchit-gandhi_gtzan_00000091,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000091.wav,mid,dark,tonal,dynamic,smooth,0.10904303938150406,0.03793773800134659,711.9052124023438,0.14307305216789246,0.09711859375238419
sanchit-gandhi_gtzan_00000092,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000092.wav,low,dark,tonal,dynamic,smooth,0.06043437495827675,0.03221895173192024,612.125244140625,0.12040957063436508,0.10883413255214691
sanchit-gandhi_gtzan_00000093,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000093.wav,low,dark,tonal,dynamic,smooth,0.07431291788816452,0.03000018745660782,492.8883972167969,0.06851260364055634,0.09960147738456726
sanchit-gandhi_gtzan_00000094,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000094.wav,high,mid,mixed,stable,mixed,0.16451415419578552,0.11777573823928833,1549.8355712890625,0.2824619710445404,0.05613928288221359
sanchit-gandhi_gtzan_00000095,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000095.wav,high,dark,mixed,dynamic,smooth,0.18335793912410736,0.06638791412115097,1118.998779296875,0.21847088634967804,0.07398981600999832
sanchit-gandhi_gtzan_00000096,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000096.wav,low,dark,tonal,mixed,smooth,0.03774082660675049,0.07789423316717148,942.789306640625,0.13660626113414764,0.060444749891757965
sanchit-gandhi_gtzan_00000097,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000097.wav,high,mid,mixed,dynamic,smooth,0.18822643160820007,0.0730629563331604,1226.6851806640625,0.25204214453697205,0.07565707713365555
sanchit-gandhi_gtzan_00000098,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000098.wav,mid,bright,noisy,mixed,percussive,0.13492633402347565,0.1609259992837906,1929.917724609375,0.4306067228317261,0.06581335514783859
sanchit-gandhi_gtzan_00000099,west,E:\Desktop\Echo\storage\public\routeA_phase2\gtzan\audio\sanchit-gandhi_gtzan_00000099.wav,mid,mid,mixed,dynamic,mixed,0.11778882145881653,0.08523178100585938,1236.957275390625,0.24754241108894348,0.08513319492340088
