task_id,track_id_a,track_id_b,culture_a,culture_b,label_a,label_b,title_a,title_b,audio_path_a,audio_path_b,source_url_a,source_url_b,uncertainty,uncertainty_method,question,similar,rationale,annotator,notes
pal_0011,indonesia_fma_0013,france_0055,indonesia,france,[],"[3, 443, 5, 567]",By Thousand Years You Can See The Stars Shine Again,Let us break bread (Negro Spiritual),E:\Desktop\Echo\storage\public\research_dataset_v3\indonesia\audio\indonesia_fma_0013.mp3,E:\Desktop\Echo\storage\public\research_dataset_v3\france\audio\france_0055.mp3,,,1.8636806011199951,culture_centroid_entropy,"Do these two tracks feel similar in affective function or listening intent? If yes or no, write one short rationale.",,,,
pal_0012,indonesia_gamelan_0009,indonesia_gamelan_0008,indonesia,indonesia,orchestra/mixture,orchestra/mixture,,,E:\Desktop\Echo\storage\public\research_dataset_v3\indonesia\audio\indonesia_gamelan_0009.wav,E:\Desktop\Echo\storage\public\research_dataset_v3\indonesia\audio\indonesia_gamelan_0008.wav,,,1.8636806011199951,culture_centroid_entropy,"Do these two tracks feel similar in affective function or listening intent? If yes or no, write one short rationale.",,,,
pal_0013,italy_0006,france_0042,italy,france,[4],"[17, 103]",End up,Six Feet Under,E:\Desktop\Echo\storage\public\research_dataset_v3\italy\audio\italy_0006.mp3,E:\Desktop\Echo\storage\public\research_dataset_v3\france\audio\france_0042.mp3,,,1.9792051315307617,culture_centroid_entropy,"Do these two tracks feel similar in affective function or listening intent? If yes or no, write one short rationale.",,,,
pal_0014,italy_0070,italy_0028,italy,italy,"[18, 1235]","[659, 5, 1235]",Goodbye,The Deadly Poppy Field,E:\Desktop\Echo\storage\public\research_dataset_v3\italy\audio\italy_0070.mp3,E:\Desktop\Echo\storage\public\research_dataset_v3\italy\audio\italy_0028.mp3,,,1.9792048931121826,culture_centroid_entropy,"Do these two tracks feel similar in affective function or listening intent? If yes or no, write one short rationale.",,,,
pal_0015,modern_english_pop_0108,modern_english_pop_0099,modern_english_pop,modern_english_pop,"['folk', 'pop', 'singersongwriter', 'popfolk']","['folk', 'pop', 'singersongwriter', 'popfolk']",,,E:\Desktop\Echo\storage\public\research_dataset_v3\modern_english_pop\audio\modern_english_pop_0108.mp3,E:\Desktop\Echo\storage\public\research_dataset_v3\modern_english_pop\audio\modern_english_pop_0099.mp3,,,1.9792051315307617,culture_centroid_entropy,"Do these two tracks feel similar in affective function or listening intent? If yes or no, write one short rationale.",,,,
pal_0016,modern_english_pop_0023,france_0084,modern_english_pop,france,"['pop', 'alternative']","[10, 76]",,Lounge Light,E:\Desktop\Echo\storage\public\research_dataset_v3\modern_english_pop\audio\modern_english_pop_0023.mp3,E:\Desktop\Echo\storage\public\research_dataset_v3\france\audio\france_0084.mp3,,,1.8636806011199951,culture_centroid_entropy,"Do these two tracks feel similar in affective function or listening intent? If yes or no, write one short rationale.",,,,
pal_0017,russia_0072,france_0065,russia,france,"[107, 18, 1235, 5]","[17, 103, 49]",Train,Pretty Girls,E:\Desktop\Echo\storage\public\research_dataset_v3\russia\audio\russia_0072.mp3,E:\Desktop\Echo\storage\public\research_dataset_v3\france\audio\france_0065.mp3,,,1.9792050123214722,culture_centroid_entropy,"Do these two tracks feel similar in affective function or listening intent? If yes or no, write one short rationale.",,,,
pal_0018,russia_0090,russia_0058,russia,russia,"[107, 18, 1235]","[659, 5, 1235]",Now You Are Here,owl's secret,E:\Desktop\Echo\storage\public\research_dataset_v3\russia\audio\russia_0090.mp3,E:\Desktop\Echo\storage\public\research_dataset_v3\russia\audio\russia_0058.mp3,,,1.9792048931121826,culture_centroid_entropy,"Do these two tracks feel similar in affective function or listening intent? If yes or no, write one short rationale.",,,,
pal_0019,turkey_modern_0116,turkey_modern_0112,turkey,turkey,,,,,E:\Desktop\Echo\storage\public\research_dataset_v3\turkey\audio\turkey_modern_0116.mp3,E:\Desktop\Echo\storage\public\research_dataset_v3\turkey\audio\turkey_modern_0112.mp3,,,1.9072844982147217,culture_centroid_entropy,"Do these two tracks feel similar in affective function or listening intent? If yes or no, write one short rationale.",,,,
pal_0020,turkey_modern_0054,modern_english_pop_0050,turkey,modern_english_pop,,"['folk', 'instrumentalpop']",,,E:\Desktop\Echo\storage\public\research_dataset_v3\turkey\audio\turkey_modern_0054.mp3,E:\Desktop\Echo\storage\public\research_dataset_v3\modern_english_pop\audio\modern_english_pop_0050.mp3,,,1.8636806011199951,culture_centroid_entropy,"Do these two tracks feel similar in affective function or listening intent? If yes or no, write one short rationale.",,,,
