participant_id,task_id,user_id,base_user_culture,target_culture,seed_track_id,candidate_a_track_id,candidate_a_method,candidate_b_track_id,candidate_b_method,baseline_track_id,pal_track_id
P02,HP008,italy_u020,italy,modern_english_pop,italy_0009,modern_english_pop_0081,pal_ot_cal_p3_balanced,modern_english_pop_0044,baseline_bpr_listwise_hybrid,modern_english_pop_0044,modern_english_pop_0081
P02,HP009,france_u009,france,china,france_0077,china_opencpop_0031,pal_ot_cal_p3_balanced,china_ctis_0043,baseline_bpr_listwise_hybrid,china_ctis_0043,china_opencpop_0031
P02,HP010,turkey_u005,turkey,italy,turkey_modern_0143,italy_0056,baseline_bpr_listwise_hybrid,italy_0007,pal_ot_cal_p3_balanced,italy_0056,italy_0007
P02,HP011,great_britain_u000,great_britain,germany,great_britain_0062,germany_0003,pal_ot_cal_p3_balanced,germany_0011,baseline_bpr_listwise_hybrid,germany_0011,germany_0003
P02,HP012,turkey_u008,turkey,france,turkey_modern_0120,france_0025,baseline_bpr_listwise_hybrid,france_0028,pal_ot_cal_p3_balanced,france_0025,france_0028
P03,HP001,russia_u008,russia,india,russia_0060,india_saraga_0089,pal_ot_cal_p3_balanced,india_saraga_0054,baseline_bpr_listwise_hybrid,india_saraga_0054,india_saraga_0089
P03,HP002,india_u023,india,china,india_saraga_0091,china_ctis_0030,pal_ot_cal_p3_balanced,china_ctis_0007,baseline_bpr_listwise_hybrid,china_ctis_0007,china_ctis_0030
P03,HP003,china_u006,china,india,china_jingju_0008,india_saraga_0038,pal_ot_cal_p3_balanced,india_saraga_0083,baseline_bpr_listwise_hybrid,india_saraga_0083,india_saraga_0038
P03,HP004,china_u011,china,great_britain,china_jingju_0024,great_britain_0102,pal_ot_cal_p3_balanced,great_britain_0093,baseline_bpr_listwise_hybrid,great_britain_0093,great_britain_0102
P03,HP005,germany_u007,germany,great_britain,germany_0092,great_britain_0007,pal_ot_cal_p3_balanced,great_britain_0018,baseline_bpr_listwise_hybrid,great_britain_0018,great_britain_0007
P03,HP006,france_u009,france,turkey,france_0070,turkey_modern_0022,pal_ot_cal_p3_balanced,turkey_modern_0096,baseline_bpr_listwise_hybrid,turkey_modern_0096,turkey_modern_0022
P03,HP007,indonesia_u003,indonesia,modern_english_pop,indonesia_fma_0010,modern_english_pop_0083,baseline_bpr_listwise_hybrid,modern_english_pop_0014,pal_ot_cal_p3_balanced,modern_english_pop_0083,modern_english_pop_0014
P03,HP008,italy_u020,italy,modern_english_pop,italy_0009,modern_english_pop_0044,baseline_bpr_listwise_hybrid,modern_english_pop_0081,pal_ot_cal_p3_balanced,modern_english_pop_0044,modern_english_pop_0081
P03,HP009,france_u009,france,china,france_0077,china_ctis_0043,baseline_bpr_listwise_hybrid,china_opencpop_0031,pal_ot_cal_p3_balanced,china_ctis_0043,china_opencpop_0031
P03,HP010,turkey_u005,turkey,italy,turkey_modern_0143,italy_0007,pal_ot_cal_p3_balanced,italy_0056,baseline_bpr_listwise_hybrid,italy_0056,italy_0007
P03,HP011,great_britain_u000,great_britain,germany,great_britain_0062,germany_0011,baseline_bpr_listwise_hybrid,germany_0003,pal_ot_cal_p3_balanced,germany_0011,germany_0003
P03,HP012,turkey_u008,turkey,france,turkey_modern_0120,france_0028,pal_ot_cal_p3_balanced,france_0025,baseline_bpr_listwise_hybrid,france_0025,france_0028
P04,HP001,russia_u008,russia,india,russia_0060,india_saraga_0054,baseline_bpr_listwise_hybrid,india_saraga_0089,pal_ot_cal_p3_balanced,india_saraga_0054,india_saraga_0089
P04,HP002,india_u023,india,china,india_saraga_0091,china_ctis_0007,baseline_bpr_listwise_hybrid,china_ctis_0030,pal_ot_cal_p3_balanced,china_ctis_0007,china_ctis_0030
P04,HP003,china_u006,china,india,china_jingju_0008,india_saraga_0083,baseline_bpr_listwise_hybrid,india_saraga_0038,pal_ot_cal_p3_balanced,india_saraga_0083,india_saraga_0038
P04,HP004,china_u011,china,great_britain,china_jingju_0024,great_britain_0093,baseline_bpr_listwise_hybrid,great_britain_0102,pal_ot_cal_p3_balanced,great_britain_0093,great_britain_0102
P04,HP005,germany_u007,germany,great_britain,germany_0092,great_britain_0018,baseline_bpr_listwise_hybrid,great_britain_0007,pal_ot_cal_p3_balanced,great_britain_0018,great_britain_0007
P04,HP006,france_u009,france,turkey,france_0070,turkey_modern_0096,baseline_bpr_listwise_hybrid,turkey_modern_0022,pal_ot_cal_p3_balanced,turkey_modern_0096,turkey_modern_0022
P04,HP007,indonesia_u003,indonesia,modern_english_pop,indonesia_fma_0010,modern_english_pop_0014,pal_ot_cal_p3_balanced,modern_english_pop_0083,baseline_bpr_listwise_hybrid,modern_english_pop_0083,modern_english_pop_0014
P04,HP008,italy_u020,italy,modern_english_pop,italy_0009,modern_english_pop_0081,pal_ot_cal_p3_balanced,modern_english_pop_0044,baseline_bpr_listwise_hybrid,modern_english_pop_0044,modern_english_pop_0081
P04,HP009,france_u009,france,china,france_0077,china_opencpop_0031,pal_ot_cal_p3_balanced,china_ctis_0043,baseline_bpr_listwise_hybrid,china_ctis_0043,china_opencpop_0031
P04,HP010,turkey_u005,turkey,italy,turkey_modern_0143,italy_0056,baseline_bpr_listwise_hybrid,italy_0007,pal_ot_cal_p3_balanced,italy_0056,italy_0007
P04,HP011,great_britain_u000,great_britain,germany,great_britain_0062,germany_0003,pal_ot_cal_p3_balanced,germany_0011,baseline_bpr_listwise_hybrid,germany_0011,germany_0003
P04,HP012,turkey_u008,turkey,france,turkey_modern_0120,france_0025,baseline_bpr_listwise_hybrid,france_0028,pal_ot_cal_p3_balanced,france_0025,france_0028
P05,HP001,russia_u008,russia,india,russia_0060,india_saraga_0089,pal_ot_cal_p3_balanced,india_saraga_0054,baseline_bpr_listwise_hybrid,india_saraga_0054,india_saraga_0089
P05,HP002,india_u023,india,china,india_saraga_0091,china_ctis_0030,pal_ot_cal_p3_balanced,china_ctis_0007,baseline_bpr_listwise_hybrid,china_ctis_0007,china_ctis_0030
P05,HP003,china_u006,china,india,china_jingju_0008,india_saraga_0038,pal_ot_cal_p3_balanced,india_saraga_0083,baseline_bpr_listwise_hybrid,india_saraga_0083,india_saraga_0038
P05,HP004,china_u011,china,great_britain,china_jingju_0024,great_britain_0102,pal_ot_cal_p3_balanced,great_britain_0093,baseline_bpr_listwise_hybrid,great_britain_0093,great_britain_0102
P05,HP005,germany_u007,germany,great_britain,germany_0092,great_britain_0007,pal_ot_cal_p3_balanced,great_britain_0018,baseline_bpr_listwise_hybrid,great_britain_0018,great_britain_0007
P05,HP006,france_u009,france,turkey,france_0070,turkey_modern_0022,pal_ot_cal_p3_balanced,turkey_modern_0096,baseline_bpr_listwise_hybrid,turkey_modern_0096,turkey_modern_0022
P05,HP007,indonesia_u003,indonesia,modern_english_pop,indonesia_fma_0010,modern_english_pop_0083,baseline_bpr_listwise_hybrid,modern_english_pop_0014,pal_ot_cal_p3_balanced,modern_english_pop_0083,modern_english_pop_0014
P05,HP008,italy_u020,italy,modern_english_pop,italy_0009,modern_english_pop_0044,baseline_bpr_listwise_hybrid,modern_english_pop_0081,pal_ot_cal_p3_balanced,modern_english_pop_0044,modern_english_pop_0081
P05,HP009,france_u009,france,china,france_0077,china_ctis_0043,baseline_bpr_listwise_hybrid,china_opencpop_0031,pal_ot_cal_p3_balanced,china_ctis_0043,china_opencpop_0031
P05,HP010,turkey_u005,turkey,italy,turkey_modern_0143,italy_0007,pal_ot_cal_p3_balanced,italy_0056,baseline_bpr_listwise_hybrid,italy_0056,italy_0007
P05,HP011,great_britain_u000,great_britain,germany,great_britain_0062,germany_0011,baseline_bpr_listwise_hybrid,germany_0003,pal_ot_cal_p3_balanced,germany_0011,germany_0003
P05,HP012,turkey_u008,turkey,france,turkey_modern_0120,france_0028,pal_ot_cal_p3_balanced,france_0025,baseline_bpr_listwise_hybrid,france_0025,france_0028
P06,HP001,russia_u008,russia,india,russia_0060,india_saraga_0054,baseline_bpr_listwise_hybrid,india_saraga_0089,pal_ot_cal_p3_balanced,india_saraga_0054,india_saraga_0089
P06,HP002,india_u023,india,china,india_saraga_0091,china_ctis_0007,baseline_bpr_listwise_hybrid,china_ctis_0030,pal_ot_cal_p3_balanced,china_ctis_0007,china_ctis_0030
P06,HP003,china_u006,china,india,china_jingju_0008,india_saraga_0083,baseline_bpr_listwise_hybrid,india_saraga_0038,pal_ot_cal_p3_balanced,india_saraga_0083,india_saraga_0038
P06,HP004,china_u011,china,great_britain,china_jingju_0024,great_britain_0093,baseline_bpr_listwise_hybrid,great_britain_0102,pal_ot_cal_p3_balanced,great_britain_0093,great_britain_0102
P06,HP005,germany_u007,germany,great_britain,germany_0092,great_britain_0018,baseline_bpr_listwise_hybrid,great_britain_0007,pal_ot_cal_p3_balanced,great_britain_0018,great_britain_0007
P06,HP006,france_u009,france,turkey,france_0070,turkey_modern_0096,baseline_bpr_listwise_hybrid,turkey_modern_0022,pal_ot_cal_p3_balanced,turkey_modern_0096,turkey_modern_0022
P06,HP007,indonesia_u003,indonesia,modern_english_pop,indonesia_fma_0010,modern_english_pop_0014,pal_ot_cal_p3_balanced,modern_english_pop_0083,baseline_bpr_listwise_hybrid,modern_english_pop_0083,modern_english_pop_0014
P06,HP008,italy_u020,italy,modern_english_pop,italy_0009,modern_english_pop_0081,pal_ot_cal_p3_balanced,modern_english_pop_0044,baseline_bpr_listwise_hybrid,modern_english_pop_0044,modern_english_pop_0081
P06,HP009,france_u009,france,china,france_0077,china_opencpop_0031,pal_ot_cal_p3_balanced,china_ctis_0043,baseline_bpr_listwise_hybrid,china_ctis_0043,china_opencpop_0031
P06,HP010,turkey_u005,turkey,italy,turkey_modern_0143,italy_0056,baseline_bpr_listwise_hybrid,italy_0007,pal_ot_cal_p3_balanced,italy_0056,italy_0007
P06,HP011,great_britain_u000,great_britain,germany,great_britain_0062,germany_0003,pal_ot_cal_p3_balanced,germany_0011,baseline_bpr_listwise_hybrid,germany_0011,germany_0003
P06,HP012,turkey_u008,turkey,france,turkey_modern_0120,france_0025,baseline_bpr_listwise_hybrid,france_0028,pal_ot_cal_p3_balanced,france_0025,france_0028
P07,HP001,russia_u008,russia,india,russia_0060,india_saraga_0089,pal_ot_cal_p3_balanced,india_saraga_0054,baseline_bpr_listwise_hybrid,india_saraga_0054,india_saraga_0089
P07,HP002,india_u023,india,china,india_saraga_0091,china_ctis_0030,pal_ot_cal_p3_balanced,china_ctis_0007,baseline_bpr_listwise_hybrid,china_ctis_0007,china_ctis_0030
P07,HP003,china_u006,china,india,china_jingju_0008,india_saraga_0038,pal_ot_cal_p3_balanced,india_saraga_0083,baseline_bpr_listwise_hybrid,india_saraga_0083,india_saraga_0038
P07,HP004,china_u011,china,great_britain,china_jingju_0024,great_britain_0102,pal_ot_cal_p3_balanced,great_britain_0093,baseline_bpr_listwise_hybrid,great_britain_0093,great_britain_0102
P07,HP005,germany_u007,germany,great_britain,germany_0092,great_britain_0007,pal_ot_cal_p3_balanced,great_britain_0018,baseline_bpr_listwise_hybrid,great_britain_0018,great_britain_0007
P07,HP006,france_u009,france,turkey,france_0070,turkey_modern_0022,pal_ot_cal_p3_balanced,turkey_modern_0096,baseline_bpr_listwise_hybrid,turkey_modern_0096,turkey_modern_0022
P07,HP007,indonesia_u003,indonesia,modern_english_pop,indonesia_fma_0010,modern_english_pop_0083,baseline_bpr_listwise_hybrid,modern_english_pop_0014,pal_ot_cal_p3_balanced,modern_english_pop_0083,modern_english_pop_0014
P07,HP008,italy_u020,italy,modern_english_pop,italy_0009,modern_english_pop_0044,baseline_bpr_listwise_hybrid,modern_english_pop_0081,pal_ot_cal_p3_balanced,modern_english_pop_0044,modern_english_pop_0081
P07,HP009,france_u009,france,china,france_0077,china_ctis_0043,baseline_bpr_listwise_hybrid,china_opencpop_0031,pal_ot_cal_p3_balanced,china_ctis_0043,china_opencpop_0031
P07,HP010,turkey_u005,turkey,italy,turkey_modern_0143,italy_0007,pal_ot_cal_p3_balanced,italy_0056,baseline_bpr_listwise_hybrid,italy_0056,italy_0007
P07,HP011,great_britain_u000,great_britain,germany,great_britain_0062,germany_0011,baseline_bpr_listwise_hybrid,germany_0003,pal_ot_cal_p3_balanced,germany_0011,germany_0003
P07,HP012,turkey_u008,turkey,france,turkey_modern_0120,france_0028,pal_ot_cal_p3_balanced,france_0025,baseline_bpr_listwise_hybrid,france_0025,france_0028
P08,HP001,russia_u008,russia,india,russia_0060,india_saraga_0054,baseline_bpr_listwise_hybrid,india_saraga_0089,pal_ot_cal_p3_balanced,india_saraga_0054,india_saraga_0089
P08,HP002,india_u023,india,china,india_saraga_0091,china_ctis_0007,baseline_bpr_listwise_hybrid,china_ctis_0030,pal_ot_cal_p3_balanced,china_ctis_0007,china_ctis_0030
P08,HP003,china_u006,china,india,china_jingju_0008,india_saraga_0083,baseline_bpr_listwise_hybrid,india_saraga_0038,pal_ot_cal_p3_balanced,india_saraga_0083,india_saraga_0038
P08,HP004,china_u011,china,great_britain,china_jingju_0024,great_britain_0093,baseline_bpr_listwise_hybrid,great_britain_0102,pal_ot_cal_p3_balanced,great_britain_0093,great_britain_0102
P08,HP005,germany_u007,germany,great_britain,germany_0092,great_britain_0018,baseline_bpr_listwise_hybrid,great_britain_0007,pal_ot_cal_p3_balanced,great_britain_0018,great_britain_0007
P08,HP006,france_u009,france,turkey,france_0070,turkey_modern_0096,baseline_bpr_listwise_hybrid,turkey_modern_0022,pal_ot_cal_p3_balanced,turkey_modern_0096,turkey_modern_0022
P08,HP007,indonesia_u003,indonesia,modern_english_pop,indonesia_fma_0010,modern_english_pop_0014,pal_ot_cal_p3_balanced,modern_english_pop_0083,baseline_bpr_listwise_hybrid,modern_english_pop_0083,modern_english_pop_0014
P08,HP008,italy_u020,italy,modern_english_pop,italy_0009,modern_english_pop_0081,pal_ot_cal_p3_balanced,modern_english_pop_0044,baseline_bpr_listwise_hybrid,modern_english_pop_0044,modern_english_pop_0081
P08,HP009,france_u009,france,china,france_0077,china_opencpop_0031,pal_ot_cal_p3_balanced,china_ctis_0043,baseline_bpr_listwise_hybrid,china_ctis_0043,china_opencpop_0031
P08,HP010,turkey_u005,turkey,italy,turkey_modern_0143,italy_0056,baseline_bpr_listwise_hybrid,italy_0007,pal_ot_cal_p3_balanced,italy_0056,italy_0007
P08,HP011,great_britain_u000,great_britain,germany,great_britain_0062,germany_0003,pal_ot_cal_p3_balanced,germany_0011,baseline_bpr_listwise_hybrid,germany_0011,germany_0003
P08,HP012,turkey_u008,turkey,france,turkey_modern_0120,france_0025,baseline_bpr_listwise_hybrid,france_0028,pal_ot_cal_p3_balanced,france_0025,france_0028
P09,HP001,russia_u008,russia,india,russia_0060,india_saraga_0089,pal_ot_cal_p3_balanced,india_saraga_0054,baseline_bpr_listwise_hybrid,india_saraga_0054,india_saraga_0089
P09,HP002,india_u023,india,china,india_saraga_0091,china_ctis_0030,pal_ot_cal_p3_balanced,china_ctis_0007,baseline_bpr_listwise_hybrid,china_ctis_0007,china_ctis_0030
P09,HP003,china_u006,china,india,china_jingju_0008,india_saraga_0038,pal_ot_cal_p3_balanced,india_saraga_0083,baseline_bpr_listwise_hybrid,india_saraga_0083,india_saraga_0038
P09,HP004,china_u011,china,great_britain,china_jingju_0024,great_britain_0102,pal_ot_cal_p3_balanced,great_britain_0093,baseline_bpr_listwise_hybrid,great_britain_0093,great_britain_0102
P09,HP005,germany_u007,germany,great_britain,germany_0092,great_britain_0007,pal_ot_cal_p3_balanced,great_britain_0018,baseline_bpr_listwise_hybrid,great_britain_0018,great_britain_0007
P09,HP006,france_u009,france,turkey,france_0070,turkey_modern_0022,pal_ot_cal_p3_balanced,turkey_modern_0096,baseline_bpr_listwise_hybrid,turkey_modern_0096,turkey_modern_0022
P09,HP007,indonesia_u003,indonesia,modern_english_pop,indonesia_fma_0010,modern_english_pop_0083,baseline_bpr_listwise_hybrid,modern_english_pop_0014,pal_ot_cal_p3_balanced,modern_english_pop_0083,modern_english_pop_0014
P09,HP008,italy_u020,italy,modern_english_pop,italy_0009,modern_english_pop_0044,baseline_bpr_listwise_hybrid,modern_english_pop_0081,pal_ot_cal_p3_balanced,modern_english_pop_0044,modern_english_pop_0081
P09,HP009,france_u009,france,china,france_0077,china_ctis_0043,baseline_bpr_listwise_hybrid,china_opencpop_0031,pal_ot_cal_p3_balanced,china_ctis_0043,china_opencpop_0031
P09,HP010,turkey_u005,turkey,italy,turkey_modern_0143,italy_0007,pal_ot_cal_p3_balanced,italy_0056,baseline_bpr_listwise_hybrid,italy_0056,italy_0007
P09,HP011,great_britain_u000,great_britain,germany,great_britain_0062,germany_0011,baseline_bpr_listwise_hybrid,germany_0003,pal_ot_cal_p3_balanced,germany_0011,germany_0003
P09,HP012,turkey_u008,turkey,france,turkey_modern_0120,france_0028,pal_ot_cal_p3_balanced,france_0025,baseline_bpr_listwise_hybrid,france_0025,france_0028
P10,HP001,russia_u008,russia,india,russia_0060,india_saraga_0054,baseline_bpr_listwise_hybrid,india_saraga_0089,pal_ot_cal_p3_balanced,india_saraga_0054,india_saraga_0089
P10,HP002,india_u023,india,china,india_saraga_0091,china_ctis_0007,baseline_bpr_listwise_hybrid,china_ctis_0030,pal_ot_cal_p3_balanced,china_ctis_0007,china_ctis_0030
P10,HP003,china_u006,china,india,china_jingju_0008,india_saraga_0083,baseline_bpr_listwise_hybrid,india_saraga_0038,pal_ot_cal_p3_balanced,india_saraga_0083,india_saraga_0038
P10,HP004,china_u011,china,great_britain,china_jingju_0024,great_britain_0093,baseline_bpr_listwise_hybrid,great_britain_0102,pal_ot_cal_p3_balanced,great_britain_0093,great_britain_0102
P10,HP005,germany_u007,germany,great_britain,germany_0092,great_britain_0018,baseline_bpr_listwise_hybrid,great_britain_0007,pal_ot_cal_p3_balanced,great_britain_0018,great_britain_0007
P10,HP006,france_u009,france,turkey,france_0070,turkey_modern_0096,baseline_bpr_listwise_hybrid,turkey_modern_0022,pal_ot_cal_p3_balanced,turkey_modern_0096,turkey_modern_0022
P10,HP007,indonesia_u003,indonesia,modern_english_pop,indonesia_fma_0010,modern_english_pop_0014,pal_ot_cal_p3_balanced,modern_english_pop_0083,baseline_bpr_listwise_hybrid,modern_english_pop_0083,modern_english_pop_0014
P10,HP008,italy_u020,italy,modern_english_pop,italy_0009,modern_english_pop_0081,pal_ot_cal_p3_balanced,modern_english_pop_0044,baseline_bpr_listwise_hybrid,modern_english_pop_0044,modern_english_pop_0081
P10,HP009,france_u009,france,china,france_0077,china_opencpop_0031,pal_ot_cal_p3_balanced,china_ctis_0043,baseline_bpr_listwise_hybrid,china_ctis_0043,china_opencpop_0031
P10,HP010,turkey_u005,turkey,italy,turkey_modern_0143,italy_0056,baseline_bpr_listwise_hybrid,italy_0007,pal_ot_cal_p3_balanced,italy_0056,italy_0007
P10,HP011,great_britain_u000,great_britain,germany,great_britain_0062,germany_0003,pal_ot_cal_p3_balanced,germany_0011,baseline_bpr_listwise_hybrid,germany_0011,germany_0003
P10,HP012,turkey_u008,turkey,france,turkey_modern_0120,france_0025,baseline_bpr_listwise_hybrid,france_0028,pal_ot_cal_p3_balanced,france_0025,france_0028
