culture_id,domain_definition,candidate_rank,source_name,source_url,license_type,license_evidence_url,audio_access,estimated_usable_tracks,fit_assessment,license_assessment,status,decision,next_action
japan,Japanese music audio with preference for traditional repertoire,4,Wikimedia Commons traditional Japanese song/audio items,https://commons.wikimedia.org/wiki/File:Sakura_Sakura.song.ogg,CC-BY-SA-3.0_or_public_domain_components,https://commons.wikimedia.org/wiki/File:Sakura_Sakura.song.ogg,manual_download,under_100,Useful as legally inspectable traditional Japanese seed examples,Not a unified dataset and too small to support a main domain corpus,provisional,small_seed_only,Use as qualitative examples or tiny supplemental seed only
anglo_pop,English-language pop anchor domain,1,vtsouval/mtg_jamendo_autotagging,https://huggingface.co/datasets/vtsouval/mtg_jamendo_autotagging,Derived_from_MTG_Jamendo_noncommercial_research_terms,https://mtg.github.io/mtg-jamendo-dataset/,public_download,1000+,Import probe succeeded directly through the HF-parquet version and the schema is immediately usable,Underlying licensing still follows MTG-Jamendo non-commercial research terms and requires later pop/language filtering,provisional,adopt_with_filter,Keep this as the actual importable anglo_pop probe source and design pop/language filters next
anglo_pop,English-language pop anchor domain,2,Free Music Archive (FMA),https://freemusicarchive.org/Terms_of_Use,Per-track_CC_or_public_domain,https://freemusicarchive.org/Terms_of_Use,public_download,1000+,Potentially useful for anglophone pop-adjacent fallback, but requires per-track license and language filtering,Legally usable track-by-track, but not a one-line clean corpus license,provisional,backup_only,Use only if we need a second anchor source after MTG-Jamendo filtering
india,Hindustani classical / raag-based music,1,neerajaabhyankar/hindustani-raag-small,https://huggingface.co/datasets/neerajaabhyankar/hindustani-raag-small,CC-BY-4.0,https://huggingface.co/datasets/neerajaabhyankar/hindustani-raag-small,public_download,1000+,Directly usable music-audio dataset with stable labels and enough scale for a balanced domain,License and row count are explicit on the dataset card,ready,strong_alternative_core_domain,Use as the strongest immediately available non-Western replacement or expansion domain
india,Hindustani classical / raag-based music,2,ai4bharat/Indic-Rag-Suite,https://huggingface.co/datasets/ai4bharat/Indic-Rag-Suite,MIT,https://huggingface.co/datasets/ai4bharat/Indic-Rag-Suite,text_only_not_audio,not_applicable,Very large but not an audio music dataset,License is clear but the modality is text rather than audio,blocked,do_not_use_for_audio_backbone,Exclude from v2 because it cannot feed the audio embedding pipeline
turkey,Turkish makam / Turkish music audio,1,bilal63/turkish_music_emotion_dataset,https://huggingface.co/datasets/bilal63/turkish_music_emotion_dataset,License_not_exposed_on_public_card_or_api,https://huggingface.co/api/datasets/bilal63/turkish_music_emotion_dataset,public_download,400,Actual audio files and exactly enough clips for a small balanced domain,HF API confirms modality and file availability but README is empty and no explicit license tag is exposed; do not treat this as redistribution-safe without maintainer confirmation,provisional,manual_license_check_required,Keep for internal research use only until a maintainer reply or explicit license notice is obtained; if that fails replace Turkey with Kazakhstan
turkey,Turkish makam / Turkish music audio,2,MTG Ottoman-Turkish Makam Recognition Dataset,https://zenodo.org/records/4883680,CC-BY-NC-SA-4.0,https://zenodo.org/records/4883680,derived_features_only,1000,Musically excellent and legally clear for Turkish makam research,Open release does not include raw audio and therefore cannot be used for Gemini/CultureMERT audio embedding generation,blocked,do_not_use_for_audio_backbone,Keep only as a metadata or derived-feature reference dataset
turkey,Turkish makam / Turkish music audio,3,UCI Turkish Music Emotion,https://archive.ics.uci.edu/dataset/862/turkish%2Bmusic%2Bemotion,CC-BY-4.0,https://archive.ics.uci.edu/dataset/862/turkish%2Bmusic%2Bemotion,features_only,not_applicable,Clear license and culturally relevant labels,Only acoustic feature CSV is released rather than raw audio,blocked,do_not_use_for_audio_backbone,Exclude from v2 raw-audio pipeline
kazakhstan,Kazakh traditional audio,1,rtrk/kazakh-traditional-audio,https://huggingface.co/datasets/rtrk/kazakh-traditional-audio,CC-BY-NC-4.0,https://huggingface.co/datasets/rtrk/kazakh-traditional-audio,public_download,1000+,Strong cultural coherence, audio modality, explicit non-commercial license, and enough scale to serve as a real domain; a 250-item import has already been completed locally,License and modality are explicit on the dataset card and README,ready,strong_alternative_core_domain,Use as the default Turkey replacement in the backup main build or promote to a core domain if Turkey license evidence remains weak
norway,Norwegian folk music centered on Hardanger fiddle,1,Bots4M/HF2-Hardanger-fiddle-dataset,https://huggingface.co/datasets/Bots4M/HF2-Hardanger-fiddle-dataset,CC-BY-4.0,https://huggingface.co/datasets/Bots4M/HF2-Hardanger-fiddle-dataset,public_download,119,Dataset card and repo structure are clear and a 12-track local import probe has already succeeded against the public manifest plus raw WAV files,License is explicit on the public dataset card and the repo provides direct download instructions,ready,good_open_expansion_candidate,Use the existing successful norway_probe as the template and import the full 119 tracks if we decide to add a small low-friction sixth domain
arab_andalusian,Arab-Andalusian music corpus,1,CompMusic Dunya Arab Andalusian corpus,https://dunya.compmusic.upf.edu/andalusian/info,Open_with_API_token,https://dunya.compmusic.upf.edu/developers/,api_download_with_token,156+,CompMusic and Dunya provide one of the strongest culturally distinctive expansion routes and the corpus page exposes at least 156 open audio recordings with broader corpus stats of 338 recordings,Developers page explicitly says Arab Andalusian audio is open but actual API access still requires a user API token; anonymous endpoint tests returned 401 rather than unrestricted access,provisional,strong_token_access_candidate,Create a Dunya API account/token and run a 10-track API download probe before promoting this domain into v2-main
georgia,Traditional Georgian vocal music,1,Erkomaishvili Dataset,https://zenodo.org/records/6900390,CC-BY-NC-4.0_with_restricted_files,https://zenodo.org/records/6900390/export/json,restricted_file_access,101_to_404,The corpus is culturally strong and the article plus metadata indicate 101 pieces and 404 recordings,Zenodo export JSON shows access status restricted for files even though the public record and paper clearly describe the corpus and license; treat this as a restricted-access candidate rather than a direct-open dataset,provisional,restricted_access_candidate,Keep as a high-value expansion candidate but do not plan automated import until a direct downloadable file route or granted access is confirmed
persia,Persian traditional instrumental music,1,Razavipour/persian-traditional-instruments,https://huggingface.co/datasets/Razavipour/persian-traditional-instruments,License_not_exposed_on_public_card,https://huggingface.co/datasets/Razavipour/persian-traditional-instruments,public_download,512,Strong cultural fit and enough audio scale to support a full additional domain if the license can be verified,Dataset viewer clearly exposes 512 audio rows and instrument labels but the public card/API does not currently surface a stable license field,provisional,manual_license_check_required,Keep as a promising expansion candidate but do not promote to core until license evidence is captured
greece,Greek traditional and folk music,1,Greek Folk Music Dataset,https://zenodo.org/records/15470305,CC-BY-4.0,https://zenodo.org/records/15470305,symbolic_only,not_applicable,Strong cultural definition and clear license,Release contains MIDI scores and metadata rather than raw audio,blocked,do_not_use_for_audio_backbone,Useful only for symbolic follow-up work not current audio embedding pipeline
france,French folk / chanson / art song candidate domain,1,No sufficiently strong open audio corpus frozen yet,n_a,unknown,n_a,no_confirmed_source,unknown,Current broad search did not identify a clearly superior French music audio source with enough scale and clean rights,License and stable downloadable audio corpus are not yet confirmed,blocked,not_recommended_currently,Do not prioritize France over stronger available domains
france,French music audio with chanson / folk / historical recording preference,1,INA research dataset project,https://www.ina.fr/institut-national-audiovisuel/research/dataset-project,Research_registration_and_project_based_access,https://www.ina.fr/institut-national-audiovisuel/research/dataset-project,registered_research_access,1000+,Potentially strong French domain route once a bounded research corpus is selected through INA research access,Access is real but depends on registration and project approval rather than open download; no raw-audio redistribution should be assumed,provisional,restricted_access_candidate,Identify a musically coherent French subset and record INA access conditions before adoption
korea,Korean traditional music / gugak audio,1,National Gugak Center digital audio OpenAPI,https://www.data.go.kr/data/15097515/openapi.do,KOGL_Type_1_(attribution),https://www.data.go.kr/data/15097515/openapi.do,public_api_application_auto_approval,100+,This is the strongest Korea candidate found so far because it is explicitly a gugak digital audio API rather than only a metadata catalog,Public portal evidence is strong but both requests and browser probes from the current environment hit connection-level failures against data.go.kr; assume Korea needs local/manual access verification plus a service key before automated import,provisional,strong_openapi_candidate,Apply for a service key and complete the first sample audit from a network environment that can actually reach data.go.kr before promoting Korea into v2-main
korea,Korean traditional music / gugak audio,2,National Gugak Center Korean traditional music information API,https://www.data.go.kr/en/data/3062269/openapi.do,The_use_permission_range_limitless,https://www.data.go.kr/en/data/3062269/openapi.do,api_and_linked_multimedia_access,100+,Official Korean cultural source with multimedia support and strong cultural alignment to gugak and likely useful as metadata enrichment over the digital-audio API,Portal text is strong but this route still looks more like a broad item catalog than a dedicated audio corpus,provisional,backup_only,Use as a supporting metadata source or backup discovery API if the dedicated digital-audio API under-delivers
korea,Korean traditional music / gugak audio,3,National Gugak Center archive file data,https://www.data.go.kr/en/data/15083294/fileData.do,The_use_permission_range_limitless,https://www.data.go.kr/en/data/15083294/fileData.do,metadata_plus_archive_access,100+,Good official backup line for Korea because it explicitly says transferred archive materials can be used without copyright issues,The file data is promising but still needs item-level mapping into downloadable audio or archive playback objects,provisional,backup_only,Use only after confirming record-to-audio resolution in a sample audit
