track_id,culture,audio_path,source_dataset,source_split,source_index,label,cname,pinyin
ccmusic-database_CTIS_00000041,china,audio/ccmusic-database_CTIS_00000041.wav,ccmusic-database/CTIS,train,41,L0167,黔胡,qian2_hu2
ccmusic-database_CTIS_00000042,china,audio/ccmusic-database_CTIS_00000042.wav,ccmusic-database/CTIS,train,42,L0170,二股弦,er4_gu3_xian2
ccmusic-database_CTIS_00000043,china,audio/ccmusic-database_CTIS_00000043.wav,ccmusic-database/CTIS,train,43,C0296,唢呐2,suo3_na_2
ccmusic-database_CTIS_00000044,china,audio/ccmusic-database_CTIS_00000044.wav,ccmusic-database/CTIS,train,44,C0259,中音加键唢呐,Alto_jia1_jian4_suo3_na
ccmusic-database_CTIS_00000045,china,audio/ccmusic-database_CTIS_00000045.wav,ccmusic-database/CTIS,train,45,C0264,低音笙,Bass_sheng1
ccmusic-database_CTIS_00000046,china,audio/ccmusic-database_CTIS_00000046.wav,ccmusic-database/CTIS,train,46,D0071,引鼓,yin3_gu3
ccmusic-database_CTIS_00000047,china,audio/ccmusic-database_CTIS_00000047.wav,ccmusic-database/CTIS,train,47,T0238,大阮,da4_ruan3
ccmusic-database_CTIS_00000048,china,audio/ccmusic-database_CTIS_00000048.wav,ccmusic-database/CTIS,train,48,L0148,板胡,ban3_hu2
ccmusic-database_CTIS_00000049,china,audio/ccmusic-database_CTIS_00000049.wav,ccmusic-database/CTIS,train,49,L0154,仕胡,shi4_hu2
ccmusic-database_CTIS_00000050,china,audio/ccmusic-database_CTIS_00000050.wav,ccmusic-database/CTIS,train,50,C0280,A调曲笛,qu3_di2_in_A
ccmusic-database_CTIS_00000051,china,audio/ccmusic-database_CTIS_00000051.wav,ccmusic-database/CTIS,train,51,D0269,铙,nao2
ccmusic-database_CTIS_00000052,china,audio/ccmusic-database_CTIS_00000052.wav,ccmusic-database/CTIS,train,52,L0134,陇剧陇胡(改良)D调,long3_ju4_long3_hu2_(reformed)_in_D
ccmusic-database_CTIS_00000053,china,audio/ccmusic-database_CTIS_00000053.wav,ccmusic-database/CTIS,train,53,D0276,马锣,ma3_luo2
ccmusic-database_CTIS_00000054,china,audio/ccmusic-database_CTIS_00000054.wav,ccmusic-database/CTIS,train,54,L0150,宛梆子梆胡,yuan1_bang1_zi_bang1_hu2
ccmusic-database_CTIS_00000055,china,audio/ccmusic-database_CTIS_00000055.wav,ccmusic-database/CTIS,train,55,L0150,宛梆子梆胡,yuan1_bang1_zi_bang1_hu2
ccmusic-database_CTIS_00000056,china,audio/ccmusic-database_CTIS_00000056.wav,ccmusic-database/CTIS,train,56,L0164,赣胡,gan4_hu2
ccmusic-database_CTIS_00000057,china,audio/ccmusic-database_CTIS_00000057.wav,ccmusic-database/CTIS,train,57,L0077,晋剧二股弦,jin4_ju4_er4_gu3_xian2
ccmusic-database_CTIS_00000058,china,audio/ccmusic-database_CTIS_00000058.wav,ccmusic-database/CTIS,train,58,L0122,壳仔弦,ke2_zai3_xian2
ccmusic-database_CTIS_00000059,china,audio/ccmusic-database_CTIS_00000059.wav,ccmusic-database/CTIS,train,59,L0266,二胡,er4_hu2
ccmusic-database_CTIS_00000060,china,audio/ccmusic-database_CTIS_00000060.wav,ccmusic-database/CTIS,train,60,L0297,中胡,zhong1_hu2
ccmusic-database_CTIS_00000061,china,audio/ccmusic-database_CTIS_00000061.wav,ccmusic-database/CTIS,train,61,L0047,扬剧主胡(小西皮),yang2_ju4_zhu3_hu2_(xiao3_xi1_pi2)
ccmusic-database_CTIS_00000062,china,audio/ccmusic-database_CTIS_00000062.wav,ccmusic-database/CTIS,train,62,L0133,陇剧陇胡(传统),long3_ju4_long3_hu2_(traditional)
ccmusic-database_CTIS_00000063,china,audio/ccmusic-database_CTIS_00000063.wav,ccmusic-database/CTIS,train,63,C0182,长号,chang2_hao4
ccmusic-database_CTIS_00000064,china,audio/ccmusic-database_CTIS_00000064.wav,ccmusic-database/CTIS,train,64,D0064,川大钵,chuan1_da4_bo1
ccmusic-database_CTIS_00000065,china,audio/ccmusic-database_CTIS_00000065.wav,ccmusic-database/CTIS,train,65,D0270,铙钹,nao2_bo1
ccmusic-database_CTIS_00000066,china,audio/ccmusic-database_CTIS_00000066.wav,ccmusic-database/CTIS,train,66,L0134,陇剧陇胡(改良)D调,long3_ju4_long3_hu2_(reformed)_in_D
ccmusic-database_CTIS_00000067,china,audio/ccmusic-database_CTIS_00000067.wav,ccmusic-database/CTIS,train,67,D0276,马锣,ma3_luo2
ccmusic-database_CTIS_00000068,china,audio/ccmusic-database_CTIS_00000068.wav,ccmusic-database/CTIS,train,68,D0269,铙,nao2
ccmusic-database_CTIS_00000069,china,audio/ccmusic-database_CTIS_00000069.wav,ccmusic-database/CTIS,train,69,T0078,四股弦,si4_gu3_xian2
ccmusic-database_CTIS_00000070,china,audio/ccmusic-database_CTIS_00000070.wav,ccmusic-database/CTIS,train,70,L0053,广西彩调主胡,guang3_xi1_cai3_diao4_zhu3_hu2
ccmusic-database_CTIS_00000071,china,audio/ccmusic-database_CTIS_00000071.wav,ccmusic-database/CTIS,train,71,D0125,南鼓,nan2_gu3
ccmusic-database_CTIS_00000072,china,audio/ccmusic-database_CTIS_00000072.wav,ccmusic-database/CTIS,train,72,L0167,黔胡,qian2_hu2
ccmusic-database_CTIS_00000073,china,audio/ccmusic-database_CTIS_00000073.wav,ccmusic-database/CTIS,train,73,C0187,高音唢呐,Treble_suo3_na
ccmusic-database_CTIS_00000074,china,audio/ccmusic-database_CTIS_00000074.wav,ccmusic-database/CTIS,train,74,L0312,牛角胡,niu2_jiao3_hu2
ccmusic-database_CTIS_00000075,china,audio/ccmusic-database_CTIS_00000075.wav,ccmusic-database/CTIS,train,75,D0245,南梆子,nan2_bang1_zi
ccmusic-database_CTIS_00000076,china,audio/ccmusic-database_CTIS_00000076.wav,ccmusic-database/CTIS,train,76,L0149,绍剧板胡,shao4_ju4_ban3_hu2
ccmusic-database_CTIS_00000077,china,audio/ccmusic-database_CTIS_00000077.wav,ccmusic-database/CTIS,train,77,D0327,萨巴依,sa4_ba1_yi1
ccmusic-database_CTIS_00000078,china,audio/ccmusic-database_CTIS_00000078.wav,ccmusic-database/CTIS,train,78,C0309,葫芦丝,hu2_lu2_si1
ccmusic-database_CTIS_00000079,china,audio/ccmusic-database_CTIS_00000079.wav,ccmusic-database/CTIS,train,79,D0184,宜春三星鼓双铛,yi2_chun1_san1_xing1_gu3_shuang1_ding1
ccmusic-database_CTIS_00000080,china,audio/ccmusic-database_CTIS_00000080.wav,ccmusic-database/CTIS,train,80,T0267,扬琴4,yang2_qin2_4
ccmusic-database_CTIS_00000081,china,audio/ccmusic-database_CTIS_00000081.wav,ccmusic-database/CTIS,train,81,L0239,高音板胡,Treble_ban3_hu2
ccmusic-database_CTIS_00000082,china,audio/ccmusic-database_CTIS_00000082.wav,ccmusic-database/CTIS,train,82,L0141,越胡,yue4_hu2
ccmusic-database_CTIS_00000083,china,audio/ccmusic-database_CTIS_00000083.wav,ccmusic-database/CTIS,train,83,C0099,短箫,duan3_xiao1
ccmusic-database_CTIS_00000084,china,audio/ccmusic-database_CTIS_00000084.wav,ccmusic-database/CTIS,train,84,C0090,大笒,da4_cen2
ccmusic-database_CTIS_00000085,china,audio/ccmusic-database_CTIS_00000085.wav,ccmusic-database/CTIS,train,85,C0259,中音加键唢呐,Alto_jia1_jian4_suo3_na
ccmusic-database_CTIS_00000086,china,audio/ccmusic-database_CTIS_00000086.wav,ccmusic-database/CTIS,train,86,L0239,高音板胡,Treble_ban3_hu2
ccmusic-database_CTIS_00000087,china,audio/ccmusic-database_CTIS_00000087.wav,ccmusic-database/CTIS,train,87,C0101,洞箫,dong4_xiao1
ccmusic-database_CTIS_00000088,china,audio/ccmusic-database_CTIS_00000088.wav,ccmusic-database/CTIS,train,88,L0166,高腔赣胡第2代,gao1_qiang1_gan4_hu2_2nd_generation
ccmusic-database_CTIS_00000089,china,audio/ccmusic-database_CTIS_00000089.wav,ccmusic-database/CTIS,train,89,L0156,工胡,gong1_hu2
ccmusic-database_CTIS_00000090,china,audio/ccmusic-database_CTIS_00000090.wav,ccmusic-database/CTIS,train,90,L0076,壮剧土胡2,zhuang4_ju4_tu3_hu2_2
ccmusic-database_CTIS_00000091,china,audio/ccmusic-database_CTIS_00000091.wav,ccmusic-database/CTIS,train,91,L0045,扬剧主胡,yang2_ju4_zhu3_hu2
ccmusic-database_CTIS_00000092,china,audio/ccmusic-database_CTIS_00000092.wav,ccmusic-database/CTIS,train,92,T0081,玄琴,xuan2_qin2
ccmusic-database_CTIS_00000093,china,audio/ccmusic-database_CTIS_00000093.wav,ccmusic-database/CTIS,train,93,C0309,葫芦丝,hu2_lu2_si1
ccmusic-database_CTIS_00000094,china,audio/ccmusic-database_CTIS_00000094.wav,ccmusic-database/CTIS,train,94,L0122,壳仔弦,ke2_zai3_xian2
ccmusic-database_CTIS_00000095,china,audio/ccmusic-database_CTIS_00000095.wav,ccmusic-database/CTIS,train,95,L0073,盖板(传统),gai4_ban3_(traditional)
ccmusic-database_CTIS_00000096,china,audio/ccmusic-database_CTIS_00000096.wav,ccmusic-database/CTIS,train,96,C0095,长唢呐,chang2_suo3_na
ccmusic-database_CTIS_00000097,china,audio/ccmusic-database_CTIS_00000097.wav,ccmusic-database/CTIS,train,97,L0165,高腔赣胡,gao1_qiang1_gan4_hu2
ccmusic-database_CTIS_00000098,china,audio/ccmusic-database_CTIS_00000098.wav,ccmusic-database/CTIS,train,98,T0255,古筝,gu3_zheng1
ccmusic-database_CTIS_00000099,china,audio/ccmusic-database_CTIS_00000099.wav,ccmusic-database/CTIS,train,99,L0162,襄阳专用胡琴,xiang1_yang2_zhuan1_yong4_hu2_qin2
ccmusic-database_CTIS_00000100,china,audio/ccmusic-database_CTIS_00000100.wav,ccmusic-database/CTIS,train,100,L0056,壮剧马骨胡D调,zhuang4_ju4_ma3_gu3_hu2_in_D
ccmusic-database_CTIS_00000101,china,audio/ccmusic-database_CTIS_00000101.wav,ccmusic-database/CTIS,train,101,C0098,低音筚篥,Bass_bi4_li
ccmusic-database_CTIS_00000102,china,audio/ccmusic-database_CTIS_00000102.wav,ccmusic-database/CTIS,train,102,T0082,伽倻琴(改良),jia1_ye2_qin2_(reformed)
ccmusic-database_CTIS_00000103,china,audio/ccmusic-database_CTIS_00000103.wav,ccmusic-database/CTIS,train,103,L0141,越胡,yue4_hu2
ccmusic-database_CTIS_00000104,china,audio/ccmusic-database_CTIS_00000104.wav,ccmusic-database/CTIS,train,104,L0314,葫芦琴,hu2_lu2_qin2
ccmusic-database_CTIS_00000105,china,audio/ccmusic-database_CTIS_00000105.wav,ccmusic-database/CTIS,train,105,L0136,渔胡,yu2_hu2
ccmusic-database_CTIS_00000106,china,audio/ccmusic-database_CTIS_00000106.wav,ccmusic-database/CTIS,train,106,L0073,盖板(传统),gai4_ban3_(traditional)
ccmusic-database_CTIS_00000107,china,audio/ccmusic-database_CTIS_00000107.wav,ccmusic-database/CTIS,train,107,L0045,扬剧主胡,yang2_ju4_zhu3_hu2
ccmusic-database_CTIS_00000108,china,audio/ccmusic-database_CTIS_00000108.wav,ccmusic-database/CTIS,train,108,T0267,扬琴4,yang2_qin2_4
ccmusic-database_CTIS_00000109,china,audio/ccmusic-database_CTIS_00000109.wav,ccmusic-database/CTIS,train,109,L0239,高音板胡,Treble_ban3_hu2
ccmusic-database_CTIS_00000110,china,audio/ccmusic-database_CTIS_00000110.wav,ccmusic-database/CTIS,train,110,T0301,玎,ding1
ccmusic-database_CTIS_00000111,china,audio/ccmusic-database_CTIS_00000111.wav,ccmusic-database/CTIS,train,111,L0122,壳仔弦,ke2_zai3_xian2
ccmusic-database_CTIS_00000112,china,audio/ccmusic-database_CTIS_00000112.wav,ccmusic-database/CTIS,train,112,T0159,双清,shuang1_qing1
ccmusic-database_CTIS_00000113,china,audio/ccmusic-database_CTIS_00000113.wav,ccmusic-database/CTIS,train,113,L0053,广西彩调主胡,guang3_xi1_cai3_diao4_zhu3_hu2
ccmusic-database_CTIS_00000114,china,audio/ccmusic-database_CTIS_00000114.wav,ccmusic-database/CTIS,train,114,L0170,二股弦,er4_gu3_xian2
ccmusic-database_CTIS_00000115,china,audio/ccmusic-database_CTIS_00000115.wav,ccmusic-database/CTIS,train,115,D0328,手鼓,shou3_gu3
ccmusic-database_CTIS_00000116,china,audio/ccmusic-database_CTIS_00000116.wav,ccmusic-database/CTIS,train,116,L0046,扬剧主胡F调,yang2_ju4_zhu3_hu2_in_F
ccmusic-database_CTIS_00000117,china,audio/ccmusic-database_CTIS_00000117.wav,ccmusic-database/CTIS,train,117,D0250,小堂鼓,xiao3_tang2_gu3
ccmusic-database_CTIS_00000118,china,audio/ccmusic-database_CTIS_00000118.wav,ccmusic-database/CTIS,train,118,L0072,盖板(新)D调,gai4_ban3_(reformed)_in_D
ccmusic-database_CTIS_00000119,china,audio/ccmusic-database_CTIS_00000119.wav,ccmusic-database/CTIS,train,119,L0160,丝弦,si1_xian2
ccmusic-database_CTIS_00000120,china,audio/ccmusic-database_CTIS_00000120.wav,ccmusic-database/CTIS,train,120,T0078,四股弦,si4_gu3_xian2
ccmusic-database_CTIS_00000121,china,audio/ccmusic-database_CTIS_00000121.wav,ccmusic-database/CTIS,train,121,T0294,南音琵琶,nan2_yin1_pi2_pa2
ccmusic-database_CTIS_00000122,china,audio/ccmusic-database_CTIS_00000122.wav,ccmusic-database/CTIS,train,122,T0323,都它尔,du1_ta1_er3
ccmusic-database_CTIS_00000123,china,audio/ccmusic-database_CTIS_00000123.wav,ccmusic-database/CTIS,train,123,C0296,唢呐2,suo3_na_2
ccmusic-database_CTIS_00000124,china,audio/ccmusic-database_CTIS_00000124.wav,ccmusic-database/CTIS,train,124,T0261,柳琴,liu3_qin2
ccmusic-database_CTIS_00000125,china,audio/ccmusic-database_CTIS_00000125.wav,ccmusic-database/CTIS,train,125,L0044,锡剧主胡,xi1_ju4_zhu3_hu2
ccmusic-database_CTIS_00000126,china,audio/ccmusic-database_CTIS_00000126.wav,ccmusic-database/CTIS,train,126,L0139,坠胡,zhui4_hu2
ccmusic-database_CTIS_00000127,china,audio/ccmusic-database_CTIS_00000127.wav,ccmusic-database/CTIS,train,127,L0166,高腔赣胡第2代,gao1_qiang1_gan4_hu2_2nd_generation
ccmusic-database_CTIS_00000128,china,audio/ccmusic-database_CTIS_00000128.wav,ccmusic-database/CTIS,train,128,L0122,壳仔弦,ke2_zai3_xian2
ccmusic-database_CTIS_00000129,china,audio/ccmusic-database_CTIS_00000129.wav,ccmusic-database/CTIS,train,129,C0263,中音笙,Alto_sheng1
ccmusic-database_CTIS_00000130,china,audio/ccmusic-database_CTIS_00000130.wav,ccmusic-database/CTIS,train,130,L0167,黔胡,qian2_hu2
ccmusic-database_CTIS_00000131,china,audio/ccmusic-database_CTIS_00000131.wav,ccmusic-database/CTIS,train,131,D0070,包锣,bao1_luo2
ccmusic-database_CTIS_00000132,china,audio/ccmusic-database_CTIS_00000132.wav,ccmusic-database/CTIS,train,132,T0302,傈傈族奇奔,li4_li4_zu2_qi2_ben1
ccmusic-database_CTIS_00000133,china,audio/ccmusic-database_CTIS_00000133.wav,ccmusic-database/CTIS,train,133,L0074,壮剧土胡,zhuang4_ju4_tu3_hu2
ccmusic-database_CTIS_00000134,china,audio/ccmusic-database_CTIS_00000134.wav,ccmusic-database/CTIS,train,134,L0157,大胡,da4_hu2
ccmusic-database_CTIS_00000135,china,audio/ccmusic-database_CTIS_00000135.wav,ccmusic-database/CTIS,train,135,T0320,民间热瓦普,folk_re4_wa3_pu3
ccmusic-database_CTIS_00000136,china,audio/ccmusic-database_CTIS_00000136.wav,ccmusic-database/CTIS,train,136,T0255,古筝,gu3_zheng1
ccmusic-database_CTIS_00000137,china,audio/ccmusic-database_CTIS_00000137.wav,ccmusic-database/CTIS,train,137,T0083,伽倻琴,jia1_ye2_qin2
ccmusic-database_CTIS_00000138,china,audio/ccmusic-database_CTIS_00000138.wav,ccmusic-database/CTIS,train,138,T0302,傈傈族奇奔,li4_li4_zu2_qi2_ben1
ccmusic-database_CTIS_00000139,china,audio/ccmusic-database_CTIS_00000139.wav,ccmusic-database/CTIS,train,139,L0165,高腔赣胡,gao1_qiang1_gan4_hu2
ccmusic-database_CTIS_00000140,china,audio/ccmusic-database_CTIS_00000140.wav,ccmusic-database/CTIS,train,140,L0134,陇剧陇胡(改良)D调,long3_ju4_long3_hu2_(reformed)_in_D
ccmusic-database_CTIS_00000141,china,audio/ccmusic-database_CTIS_00000141.wav,ccmusic-database/CTIS,train,141,D0173,代子,dai4_zi
ccmusic-database_CTIS_00000142,china,audio/ccmusic-database_CTIS_00000142.wav,ccmusic-database/CTIS,train,142,C0304,侗笛,dong4_di2
ccmusic-database_CTIS_00000143,china,audio/ccmusic-database_CTIS_00000143.wav,ccmusic-database/CTIS,train,143,L0240,中音板胡,Alto_ban3_hu2
ccmusic-database_CTIS_00000144,china,audio/ccmusic-database_CTIS_00000144.wav,ccmusic-database/CTIS,train,144,C0117,南音洞箫,nan2_yin1_dong4_xiao1
ccmusic-database_CTIS_00000145,china,audio/ccmusic-database_CTIS_00000145.wav,ccmusic-database/CTIS,train,145,L0115,莱芜梆子-梆胡,lai2_wu2_bang1_zi-bang1_hu2
ccmusic-database_CTIS_00000146,china,audio/ccmusic-database_CTIS_00000146.wav,ccmusic-database/CTIS,train,146,T0159,双清,shuang1_qing1
ccmusic-database_CTIS_00000147,china,audio/ccmusic-database_CTIS_00000147.wav,ccmusic-database/CTIS,train,147,L0150,宛梆子梆胡,yuan1_bang1_zi_bang1_hu2
ccmusic-database_CTIS_00000148,china,audio/ccmusic-database_CTIS_00000148.wav,ccmusic-database/CTIS,train,148,L0115,莱芜梆子-梆胡,lai2_wu2_bang1_zi-bang1_hu2
ccmusic-database_CTIS_00000149,china,audio/ccmusic-database_CTIS_00000149.wav,ccmusic-database/CTIS,train,149,C0100,短箫(传统),duan3_xiao1_(traditional)
ccmusic-database_CTIS_00000150,china,audio/ccmusic-database_CTIS_00000150.wav,ccmusic-database/CTIS,train,150,C0264,低音笙,Bass_sheng1
ccmusic-database_CTIS_00000151,china,audio/ccmusic-database_CTIS_00000151.wav,ccmusic-database/CTIS,train,151,T0320,民间热瓦普,folk_re4_wa3_pu3
ccmusic-database_CTIS_00000152,china,audio/ccmusic-database_CTIS_00000152.wav,ccmusic-database/CTIS,train,152,C0090,大笒,da4_cen2
ccmusic-database_CTIS_00000153,china,audio/ccmusic-database_CTIS_00000153.wav,ccmusic-database/CTIS,train,153,L0086,中音奚琴(改良),Alto_xi1_qin2_(reformed)
ccmusic-database_CTIS_00000154,china,audio/ccmusic-database_CTIS_00000154.wav,ccmusic-database/CTIS,train,154,D0179,宜春三星鼓福鼓老鼓,yi2_chun1_san1_xing1_gu3_fu2_gu3_(traditional)
ccmusic-database_CTIS_00000155,china,audio/ccmusic-database_CTIS_00000155.wav,ccmusic-database/CTIS,train,155,T0323,都它尔,du1_ta1_er3
ccmusic-database_CTIS_00000156,china,audio/ccmusic-database_CTIS_00000156.wav,ccmusic-database/CTIS,train,156,L0155,伬胡,chi4_hu2
ccmusic-database_CTIS_00000157,china,audio/ccmusic-database_CTIS_00000157.wav,ccmusic-database/CTIS,train,157,L0240,中音板胡,Alto_ban3_hu2
ccmusic-database_CTIS_00000158,china,audio/ccmusic-database_CTIS_00000158.wav,ccmusic-database/CTIS,train,158,L0256,雷琴,lei2_qin2
ccmusic-database_CTIS_00000159,china,audio/ccmusic-database_CTIS_00000159.wav,ccmusic-database/CTIS,train,159,L0151,四弦,si4_xian2
ccmusic-database_CTIS_00000160,china,audio/ccmusic-database_CTIS_00000160.wav,ccmusic-database/CTIS,train,160,L0045,扬剧主胡,yang2_ju4_zhu3_hu2
ccmusic-database_CTIS_00000161,china,audio/ccmusic-database_CTIS_00000161.wav,ccmusic-database/CTIS,train,161,C0187,高音唢呐,Treble_suo3_na
ccmusic-database_CTIS_00000162,china,audio/ccmusic-database_CTIS_00000162.wav,ccmusic-database/CTIS,train,162,L0135,齐琴,qi2_qin2
ccmusic-database_CTIS_00000163,china,audio/ccmusic-database_CTIS_00000163.wav,ccmusic-database/CTIS,train,163,C0311,俄比,e2_bi3
ccmusic-database_CTIS_00000164,china,audio/ccmusic-database_CTIS_00000164.wav,ccmusic-database/CTIS,train,164,C0243,高音键笙,Treble_jian4_sheng1
ccmusic-database_CTIS_00000165,china,audio/ccmusic-database_CTIS_00000165.wav,ccmusic-database/CTIS,train,165,T0007,雅托嘎,ya3_tuo1_ga2
ccmusic-database_CTIS_00000166,china,audio/ccmusic-database_CTIS_00000166.wav,ccmusic-database/CTIS,train,166,L0154,仕胡,shi4_hu2
ccmusic-database_CTIS_00000167,china,audio/ccmusic-database_CTIS_00000167.wav,ccmusic-database/CTIS,train,167,C0243,高音键笙,Treble_jian4_sheng1
